Logistic_PCA50_cost20,Logistic_PCA50_cost25,Logistic_PCA100_cost20,BalancedRF_PCA50,SMOTE_Logistic_PCA50,true_label
1.0,1.0,1.0,0.355,1.0,0
0.0011145739901719568,0.0009456839059893088,0.0015477664519952382,0.47,0.00012959295627710903,0
0.09752149554635978,0.10010154281930486,0.04076755378669422,0.535,0.3009365240340746,0
0.008529144829954911,0.0077009265086300654,0.010414870164539184,0.55,0.00528536855975473,0
3.3559005603996086e-256,2.738180787910511e-268,1.0,0.27,1.728583459699631e-298,0
0.08044330216068672,0.0819951600547004,0.059074117370858104,0.52,0.05742768587535377,0
6.064765094392701e-07,3.318692217017075e-07,3.732586040831722e-05,0.395,4.7570955365026225e-07,0
0.0,0.0,0.0,0.27,0.0,0
0.013030761712057966,0.01187349433570793,0.005914083275779896,0.535,0.006466359406789518,0
0.003325318351441654,0.002901891130350016,0.03874089967912126,0.395,0.0020239601818074224,1
0.5893949903823182,0.6262578177557447,0.0003495455329275271,0.45,0.6954586616774945,0
1.2309659425544184e-50,7.270165743516011e-64,0.0,0.38,0.9999999999736693,0
0.0651639986849874,0.06553809251280537,0.024799994143482693,0.48,0.32855274887427,0
1.0,1.0,1.0,0.345,1.0,0
4.707644692308118e-19,4.5821652669693964e-20,2.0624415336542894e-16,0.37,2.560486297841212e-10,0
0.05384914963258618,0.055332220960823186,0.014908737705847865,0.41,0.03557273998000935,0
0.0,0.0,0.0,0.27,0.0,0
0.0083316747833376,0.007449274976487512,1.094089966163749e-06,0.335,0.07907076489081742,0
1.574846742036844e-39,3.087890612950368e-41,0.01147968327374072,0.31,9.530794297959762e-65,0
0.00033445701805616504,0.00030861699453455156,6.438420411879054e-12,0.28,5.049818445672405e-06,0
0.000376044641228159,0.00029747857466992867,0.0012009904181535566,0.415,0.0006582825422849996,0
2.6192616319903716e-08,1.2665128776409687e-08,1.2298249238479837e-08,0.39,1.6775086342267324e-08,0
2.5009854890742104e-05,1.6903268938777133e-05,3.755181334594704e-05,0.29,2.269950815993691e-05,0
3.442046354256655e-11,3.461685633070068e-12,3.426061668265845e-38,0.365,7.69962065098651e-41,0
0.009045574135397342,0.00789190413314168,0.4405261690291783,0.495,0.0007146243817745487,0
0.008278647853456599,0.007608812393690265,0.023225074318587145,0.52,0.004647773193339755,0
0.0,0.0,5.664601415279171e-234,0.31,0.0,0
4.0332742496516396e-178,1.0652244941408502e-186,1.0,0.325,3.718828863488013e-235,0
0.2166198139780488,0.2172693227081623,0.887903572714896,0.375,0.3824935084181336,0
